Date,Product,Category,Quantity,Price,Revenue,Customer_ID
2025-01-05,Laptop Pro,Electronics,2,999.99,1999.98,CUST001
2025-01-07,Wireless Mouse,Electronics,5,29.99,149.95,CUST002
2025-01-10,Office Chair,Furniture,3,249.99,749.97,CUST003
2025-01-12,Standing Desk,Furniture,1,599.99,599.99,CUST001
2025-01-15,Laptop Pro,Electronics,1,999.99,999.99,CUST004
2025-01-18,USB-C Hub,Electronics,8,49.99,399.92,CUST002
2025-01-20,Desk Lamp,Furniture,4,39.99,159.96,CUST005
2025-01-22,Mechanical Keyboard,Electronics,3,149.99,449.97,CUST003
2025-01-25,Monitor 27",Electronics,2,349.99,699.98,CUST006
2025-01-28,Webcam HD,Electronics,6,79.99,479.94,CUST001
2025-02-02,Laptop Pro,Electronics,3,999.99,2999.97,CUST007
2025-02-05,Office Chair,Furniture,2,249.99,499.98,CUST002
2025-02-08,Wireless Mouse,Electronics,10,29.99,299.90,CUST008
2025-02-10,Standing Desk,Furniture,2,599.99,1199.98,CUST003
2025-02-12,Notebook Set,Stationery,15,12.99,194.85,CUST009
2025-02-15,Desk Organizer,Stationery,7,24.99,174.93,CUST004
2025-02-18,USB-C Hub,Electronics,4,49.99,199.96,CUST010
2025-02-20,Laptop Pro,Electronics,1,999.99,999.99,CUST001
2025-02-22,Mechanical Keyboard,Electronics,5,149.99,749.95,CUST005
2025-02-25,Monitor 27",Electronics,3,349.99,1049.97,CUST006
2025-02-28,Webcam HD,Electronics,2,79.99,159.98,CUST002
2025-03-02,Office Chair,Furniture,4,249.99,999.96,CUST003
2025-03-05,Desk Lamp,Furniture,6,39.99,239.94,CUST011
2025-03-08,Wireless Mouse,Electronics,8,29.99,239.92,CUST007
2025-03-10,Standing Desk,Furniture,1,599.99,599.99,CUST001
2025-03-12,Laptop Pro,Electronics,2,999.99,1999.98,CUST012
2025-03-15,Notebook Set,Stationery,20,12.99,259.80,CUST004
2025-03-18,USB-C Hub,Electronics,6,49.99,299.94,CUST008
2025-03-20,Mechanical Keyboard,Electronics,2,149.99,299.98,CUST002
2025-03-22,Printer Paper,Stationery,10,8.99,89.90,CUST009
2025-03-25,Monitor 27",Electronics,1,349.99,349.99,CUST013
2025-03-28,Webcam HD,Electronics,4,79.99,319.96,CUST003
2025-04-01,Laptop Pro,Electronics,4,999.99,3999.96,CUST001
2025-04-04,Office Chair,Furniture,3,249.99,749.97,CUST014
2025-04-07,Wireless Mouse,Electronics,12,29.99,359.88,CUST005
2025-04-10,Standing Desk,Furniture,2,599.99,1199.98,CUST006
2025-04-12,Desk Lamp,Furniture,5,39.99,199.95,CUST002
2025-04-15,USB-C Hub,Electronics,7,49.99,349.93,CUST010
2025-04-18,Notebook Set,Stationery,25,12.99,324.75,CUST003
2025-04-20,Mechanical Keyboard,Electronics,4,149.99,599.96,CUST015
2025-04-22,Printer Paper,Stationery,15,8.99,134.85,CUST004
2025-04-25,Monitor 27",Electronics,2,349.99,699.98,CUST007
2025-04-28,Webcam HD,Electronics,3,79.99,239.97,CUST001
2025-05-02,Laptop Pro,Electronics,2,999.99,1999.98,CUST016
2025-05-05,Office Chair,Furniture,5,249.99,1249.95,CUST002
2025-05-08,Wireless Mouse,Electronics,6,29.99,179.94,CUST008
2025-05-10,Standing Desk,Furniture,3,599.99,1799.97,CUST003
2025-05-12,Desk Organizer,Stationery,10,24.99,249.90,CUST009
2025-05-15,USB-C Hub,Electronics,9,49.99,449.91,CUST001
2025-05-18,Mechanical Keyboard,Electronics,3,149.99,449.97,CUST005
2025-05-20,Notebook Set,Stationery,18,12.99,233.82,CUST004
2025-05-22,Monitor 27",Electronics,4,349.99,1399.96,CUST017
2025-05-25,Webcam HD,Electronics,5,79.99,399.95,CUST006
2025-05-28,Desk Lamp,Furniture,3,39.99,119.97,CUST002
2025-06-01,Laptop Pro,Electronics,3,999.99,2999.97,CUST001
2025-06-04,Office Chair,Furniture,2,249.99,499.98,CUST003
2025-06-07,Wireless Mouse,Electronics,15,29.99,449.85,CUST018
2025-06-10,Standing Desk,Furniture,2,599.99,1199.98,CUST007
2025-06-12,Printer Paper,Stationery,20,8.99,179.80,CUST009
2025-06-15,USB-C Hub,Electronics,5,49.99,249.95,CUST010
2025-06-18,Mechanical Keyboard,Electronics,6,149.99,899.94,CUST002
2025-06-20,Notebook Set,Stationery,30,12.99,389.70,CUST004
2025-06-22,Monitor 27",Electronics,3,349.99,1049.97,CUST001
2025-06-25,Webcam HD,Electronics,7,79.99,559.93,CUST005
2025-06-28,Desk Organizer,Stationery,8,24.99,199.92,CUST003
